2024-12-31 12:39:23,656: Actions: [1, 0, 0, 4, 3, 4, 4, 2, 0, 3, 4, 4, 4, 3, 3, 3]
2024-12-31 12:39:23,656: IDs: [26, 59, 53, 87, 63, 73, 53, 64, 43, 33, 49, 81, 44, 64, 64, 95]
2024-12-31 12:39:23,656: Objs: [19, 24, 13, 35, 28, 25, 35, 15, 1, 28, 14, 38, 17, 23, 39, 17]
2024-12-31 12:39:23,656: Actions: [3, 0, 3, 3, 4, 1, 4, 4, 0, 2, 1, 3, 1, 0, 2, 0]
2024-12-31 12:39:23,657: IDs: [36, 59, 63, 99, 62, 63, 52, 63, 43, 34, 37, 91, 36, 64, 65, 95]
2024-12-31 12:39:23,657: Objs: [35, 24, 25, 17, 11, 38, 6, 43, 1, 13, 20, 20, 3, 23, 39, 17]
2024-12-31 12:39:23,657: Actions: [1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 0, 4, 3, 2, 1]
2024-12-31 12:39:23,657: IDs: [26, 51, 53, 87, 54, 53, 51, 53, 35, 35, 38, 91, 35, 74, 66, 85]
2024-12-31 12:39:23,657: Objs: [19, 9, 13, 35, 34, 3, 7, 0, 32, 20, 36, 20, 19, 28, 16, 41]
2024-12-31 12:39:23,657: Actions: [1, 1, 1, 1, 0, 2, 2, 2, 0, 4, 1, 2, 3, 2, 3, 4]
2024-12-31 12:39:23,657: IDs: [16, 43, 43, 75, 54, 54, 52, 54, 35, 34, 26, 92, 43, 75, 78, 84]
2024-12-31 12:39:23,657: Objs: [43, 1, 0, 31, 34, 44, 6, 1, 32, 13, 35, 37, 17, 3, 44, 17]
2024-12-31 12:39:23,657: Actions: [3, 1, 4, 3, 3, 3, 2, 3, 2, 1, 4, 0, 4, 2, 1, 1]
2024-12-31 12:39:23,658: IDs: [26, 35, 42, 87, 62, 64, 53, 64, 36, 24, 25, 92, 42, 76, 66, 74]
2024-12-31 12:39:23,658: Objs: [19, 26, 16, 35, 11, 33, 35, 15, 43, 0, 6, 37, 42, 20, 16, 37]
2024-12-31 12:39:23,658: Actions: [4, 0, 4, 3, 0, 2, 3, 2, 4, 4, 4, 2, 4, 4, 4, 3]
2024-12-31 12:39:23,658: IDs: [25, 35, 41, 99, 62, 65, 65, 65, 35, 23, 24, 93, 41, 75, 65, 84]
2024-12-31 12:39:23,658: Objs: [27, 26, 15, 17, 11, 24, 7, 16, 32, 2, 28, 44, 8, 3, 39, 17]
2024-12-31 12:39:23,658: Actions: [4, 3, 3, 4, 1, 1, 2, 3, 3, 3, 2, 4, 4, 4, 1, 2]
2024-12-31 12:39:24,418: Finished backprop iter 0 in 1.13 seconds.
2024-12-31 12:39:24,418: Loss: 225.13. <p_g> 0.04 <p_x> 0.00 <x_gen> 72.33 <x_g> 72.33 <x_p> 72.58 <g> 0.00                     <reg_g> 4.39 <reg_p> 3.46
2024-12-31 12:39:24,419: Accuracy: <p> 0.00% <g> 1.56% <gt> 1.56%
2024-12-31 12:39:24,421: Parameters: <max_hebb> 0.00 <eta> 0.00 <lambda> 0.00 <p2g_scale_offset> 0.88
2024-12-31 12:39:24,421: Weights:[0.0005, 5.9601461011058844e-05, 1.0, 1.0, 1.0, 0.0005, 0.00999999975, 0.019995000000000002]
2024-12-31 12:39:24,421:  
2024-12-31 12:39:24,933: IDs: [24, 43, 51, 98, 54, 55, 66, 75, 43, 33, 25, 92, 40, 74, 53, 85]
2024-12-31 12:39:24,934: Objs: [18, 1, 12, 35, 34, 8, 13, 12, 1, 28, 6, 37, 32, 28, 40, 41]
2024-12-31 12:39:24,934: Actions: [1, 1, 3, 2, 1, 3, 4, 4, 2, 1, 1, 4, 0, 0, 2, 3]
2024-12-31 12:39:24,934: IDs: [14, 35, 61, 99, 46, 65, 65, 74, 44, 23, 13, 91, 40, 74, 54, 95]
2024-12-31 12:39:24,934: Objs: [14, 26, 39, 17, 19, 24, 7, 23, 8, 2, 37, 20, 32, 28, 8, 17]
2024-12-31 12:39:24,934: Actions: [3, 3, 0, 0, 4, 0, 0, 4, 4, 4, 2, 2, 2, 0, 2, 2]
2024-12-31 12:39:24,935: IDs: [24, 43, 61, 99, 45, 65, 65, 73, 43, 22, 14, 92, 41, 74, 55, 96]
2024-12-31 12:39:24,935: Objs: [18, 1, 39, 17, 20, 24, 7, 27, 1, 43, 41, 37, 8, 28, 21, 13]
2024-12-31 12:39:24,935: Actions: [1, 3, 0, 3, 4, 4, 4, 4, 2, 1, 1, 2, 2, 2, 1, 1]
2024-12-31 12:39:24,935: IDs: [14, 51, 61, 111, 44, 64, 64, 72, 44, 12, 2, 93, 42, 75, 43, 86]
2024-12-31 12:39:24,935: Objs: [14, 9, 39, 41, 23, 33, 36, 8, 8, 29, 34, 44, 42, 3, 25, 30]
2024-12-31 12:39:24,935: Actions: [1, 3, 2, 2, 2, 3, 1, 3, 3, 4, 3, 2, 4, 2, 3, 3]
2024-12-31 12:39:24,935: IDs: [4, 59, 62, 112, 45, 74, 52, 82, 52, 11, 14, 94, 41, 76, 55, 96]
