2025-01-08 10:35:48,943: Actions: [3, 3, 2, 3, 4, 2, 4, 4, 3, 4, 3, 2, 2, 4, 4, 4]
2025-01-08 10:35:48,944: IDs: [np.int64(66), np.int64(24), np.int64(2), np.int64(33), np.int64(12), np.int64(57), np.int64(24), np.int64(36), np.int64(55), np.int64(90), np.int64(14), np.int64(29), np.int64(63), np.int64(24), np.int64(28), np.int64(56)]
2025-01-08 10:35:48,944: Objs: [10, 26, 11, 34, 43, 34, 20, 37, 1, 12, 38, 2, 14, 3, 30, 40]
2025-01-08 10:35:48,944: Actions: [4, 3, 2, 1, 3, 3, 1, 4, 4, 0, 3, 4, 1, 2, 1, 4]
2025-01-08 10:35:48,945: IDs: [np.int64(65), np.int64(32), np.int64(3), np.int64(21), np.int64(20), np.int64(67), np.int64(12), np.int64(35), np.int64(54), np.int64(90), np.int64(26), np.int64(28), np.int64(55), np.int64(25), np.int64(16), np.int64(55)]
2025-01-08 10:35:48,945: Objs: [31, 37, 17, 9, 27, 24, 37, 43, 39, 12, 23, 10, 9, 39, 20, 18]
2025-01-08 10:35:48,945: Actions: [3, 1, 4, 1, 0, 4, 0, 2, 1, 1, 4, 0, 1, 1, 4, 3]
2025-01-08 10:35:48,946: IDs: [np.int64(75), np.int64(24), np.int64(2), np.int64(9), np.int64(20), np.int64(66), np.int64(12), np.int64(36), np.int64(46), np.int64(80), np.int64(25), np.int64(28), np.int64(47), np.int64(15), np.int64(15), np.int64(65)]
2025-01-08 10:35:48,946: Objs: [33, 26, 11, 43, 27, 32, 37, 37, 43, 16, 31, 10, 1, 4, 3, 2]
2025-01-08 10:35:48,946: Actions: [3, 3, 3, 3, 1, 1, 1, 0, 1, 1, 2, 4, 4, 4, 3, 4]
2025-01-08 10:35:48,946: IDs: [np.int64(85), np.int64(32), np.int64(12), np.int64(21), np.int64(12), np.int64(56), np.int64(0), np.int64(36), np.int64(38), np.int64(70), np.int64(26), np.int64(27), np.int64(46), np.int64(14), np.int64(27), np.int64(64)]
2025-01-08 10:35:48,947: Objs: [37, 37, 7, 9, 43, 19, 21, 37, 16, 41, 23, 36, 25, 34, 24, 26]
2025-01-08 10:35:48,947: Actions: [3, 1, 2, 3, 3, 1, 2, 3, 4, 1, 1, 1, 4, 3, 1, 1]
2025-01-08 10:35:48,947: IDs: [np.int64(95), np.int64(24), np.int64(13), np.int64(33), np.int64(20), np.int64(46), np.int64(1), np.int64(46), np.int64(37), np.int64(60), np.int64(14), np.int64(17), np.int64(45), np.int64(24), np.int64(15), np.int64(54)]
2025-01-08 10:35:48,947: Objs: [15, 26, 42, 34, 27, 41, 32, 39, 32, 34, 38, 28, 34, 3, 3, 40]
2025-01-08 10:35:48,947: Actions: [4, 3, 1, 1, 3, 4, 3, 4, 3, 3, 3, 2, 3, 0, 4, 1]
2025-01-08 10:35:48,948: IDs: [np.int64(94), np.int64(32), np.int64(3), np.int64(21), np.int64(28), np.int64(45), np.int64(13), np.int64(45), np.int64(45), np.int64(70), np.int64(26), np.int64(18), np.int64(53), np.int64(24), np.int64(14), np.int64(44)]
2025-01-08 10:35:48,948: Objs: [41, 37, 17, 9, 21, 13, 29, 31, 31, 41, 23, 19, 40, 3, 41, 43]
2025-01-08 10:35:48,948: Actions: [2, 0, 2, 3, 1, 1, 3, 3, 1, 2, 2, 3, 1, 2, 2, 1]
2025-01-08 10:35:48,949: IDs: [np.int64(95), np.int64(32), np.int64(4), np.int64(33), np.int64(20), np.int64(35), np.int64(25), np.int64(55), np.int64(37), np.int64(71), np.int64(27), np.int64(28), np.int64(45), np.int64(25), np.int64(15), np.int64(34)]
2025-01-08 10:35:48,949: Objs: [15, 37, 9, 34, 27, 1, 33, 12, 32, 42, 13, 10, 34, 39, 3, 19]
2025-01-08 10:35:48,949: Actions: [0, 0, 4, 0, 4, 2, 0, 2, 4, 2, 1, 4, 1, 4, 4, 4]
2025-01-08 10:35:48,950: IDs: [np.int64(95), np.int64(32), np.int64(3), np.int64(33), np.int64(19), np.int64(36), np.int64(25), np.int64(56), np.int64(36), np.int64(72), np.int64(15), np.int64(27), np.int64(37), np.int64(24), np.int64(14), np.int64(33)]
2025-01-08 10:35:48,950: Objs: [15, 37, 17, 34, 14, 10, 33, 17, 16, 36, 42, 36, 23, 3, 41, 38]
2025-01-08 10:35:48,950: Actions: [1, 1, 0, 0, 0, 0, 3, 3, 4, 1, 2, 1, 3, 4, 1, 2]
2025-01-08 10:35:50,108: Finished backprop iter 0 in 1.82 seconds.
2025-01-08 10:35:50,109: Loss: 216.72. <p_g> 0.03 <p_x> 0.00 <x_gen> 70.02 <x_g> 70.02 <x_p> 70.08 <g> 0.00                     <reg_g> 3.66 <reg_p> 2.90
2025-01-08 10:35:50,109: Accuracy: <p> 2.81% <g> 2.50% <gt> 2.50%
2025-01-08 10:35:50,110: Parameters: <max_hebb> 0.00 <eta> 0.00 <lambda> 0.00 <p2g_scale_offset> 0.88
2025-01-08 10:35:50,111: Weights:[np.float64(0.0005), np.float64(5.9601461011058844e-05), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.0005), np.float64(0.00999999975), np.float64(0.019995000000000002)]
2025-01-08 10:35:50,111:
2025-01-08 10:37:17,134: IDs: [np.int64(1), np.int64(24), np.int64(11), np.int64(44), np.int64(16), np.int64(34), np.int64(4), np.int64(89), np.int64(54), np.int64(49), np.int64(100), np.int64(38), np.int64(7), np.int64(92), np.int64(65), np.int64(72)]
2025-01-08 10:37:17,134: Objs: [21, 17, 10, 40, 18, 1, 15, 15, 22, 1, 41, 35, 2, 43, 7, 10]
2025-01-08 10:37:17,134: Actions: [3, 1, 4, 2, 3, 2, 3, 1, 1, 1, 1, 3, 0, 4, 1, 1]
2025-01-08 10:37:17,135: IDs: [np.int64(11), np.int64(16), np.int64(10), np.int64(45), np.int64(24), np.int64(35), np.int64(16), np.int64(79), np.int64(46), np.int64(39), np.int64(88), np.int64(48), np.int64(7), np.int64(91), np.int64(53), np.int64(62)]
